Unit Number,Notes,Model,Serial Number
DOCX 1512,"Built 1971, MA3A. DOCX 1512>METX 1512>RTA 1512>IC 1512.",Highliner,
DOCX 1517,"Built 1971, MA3A. DOCX 1517>METX 1517>RTA 1517>IC 1517",Highliner,
DOCX 1526,"Built 1971, MA3A. DOCX 1526>METX 1526>RTA 1526>IC 1526.",Highliner,
DOCX 1530,"Built 1971, MA3A. DOCX 1530>METX 1530>RTA 1530>IC 1530.",Highliner,
DOCX 1553,"MA3A, built 1972. DOCX 1533>METX 1553>RTA 1553>IC 1553",Highliner,
DOCX 1573,"Built 1972, MA3A. DOCX 1573>METX 1573>RTA 1573>IC 1573.",Highliner,
DOCX 1575,"Built 1972, MA3A. DOCX 1575>METX 1575>RTA 1575>IC 1575.",Highliner,
DOCX 1623,"Built 1972, MA3A. DOCX 1623>METX 1623>RTA 1623>IC 1623.",Highliner,
DOCX 1654,"Built 1979. Bombardier Highliner, MA3B. DOCX 1654>METX 1654",Electric M.U.,
DOCX 1665,"Built 1979. Bombardier Highliner, MA3B. DOCX 1665>METX 1665.",Electric M.U.,
