Unit Number,Notes,Model,Serial Number
DOTX 1,"Pueblo Railway Museum, CO",U30C,38090
DOTX T-3,,Pioneer III,
DOTX T-10,track geometry car,SPV-2000,2007
DOTX 14,ex-USAX 8016,RSD1,70637
DOTX T-16,Ex-AMTK 9642 Exx-PC 803; not powered,MoW Equipment,
DOTX T-18,PLASSER  GRMS,MoW Equipment,
DOTX 203,,GP40-2,786143-1
DOTX 210,"Owned by US DOT, leased to NJ DOT in late 70's",E8A,10233
DOTX 217,PTS-62 Geometry Vehicle,MoW Equipment,
DOTX 218,ex-VIA,LRC,6125-06
DOTX 218,,MoW Equipment,
DOTX 219,"FRA Track Geometry Car, built by Plasser & Theurer",MoW Equipment,
DOTX 220,,MoW Equipment,
DOTX 229,FRA,UNKNOWN,
DOTX 1338,,Arrow III MU,
DOTX 1339,,Arrow III MU,
DOTX 1412,,Arrow III MU,
DOTX 1413,,Arrow III MU,
DOTX 1438,,Arrow III MU,
DOTX 1439,,Arrow III MU,
DOTX 1492,,Arrow III MU,
DOTX 1493,,Arrow III MU,
DOTX 2000,ex-DRGW,GP40-3,30999
DOTX T2000,,MoW Equipment,
DOTX 2200,Turbine engine instead of elec,Acela Power Car,
DOTX 4113,Ex-NJT,F40PH-2CAT,796380-1
DOTX 4117,Ex-NJT,F40PH-2CAT,796380-5
DOTX 4140,Ex-NJT,GP40FH-2,32238
DOTX 4143,Ex-NJT,GP40FH-2,32293
DOTX 8003,"requisitioned by US Army, to Alaska 1043, returned to USAX 8003",RSD1,69568
