Unit Number,Notes,Model,Serial Number
FARX 135,Ex-DRGW,SW1200,30024
FARX 912,"ex-CNW 1731, CNW 4533",GP9,23548
FARX 1202,Ex-UP,SW10,18854
FARX 1214,Ex-UP,SW10,18842
FARX 1254,Ex-CN,SW1200RS,A1026
FARX 1674,Ex-ATSF,GP9u,17024
FARX 2329,blt 12/76 as SLSF 474,GP38-2,767030-16
FARX 3502,blt 1/58 as NP 169,SW1200,24033
FARX 3515,blt 7/65 as CB&Q 9289,SW1200,30541
FARX 3517,blt 7/65 as CB&Q 9291,SW1200,30543
FARX 3854,ex-SP 5808/3854,GP9E,25108
FARX 6974,Ex-CN,SD40-2,A2310
FARX 19804,Standard Slag Co 25 11/1938,MDT,3978
