Unit Number,Notes,Model,Serial Number
FTRL 207,"ex CBRY, ex NP",GP9,21233
FTRL 251,,SW1500,75611-1
FTRL 252,Ex-Manufactures Railway Company 252,MP15DC,75611-2
FTRL 253,Ex-MRS,S4M,72738
FTRL 254,Ex MRS 254,MP15DC,826025-1
FTRL 255,Ex MRS 255,SW1500,33542
FTRL 256,,SW1500,34348
FTRL 257,"Ex-MRS 257, built as Illinois Terminal 1514",SW1500,35828
FTRL 258,Ex Manufactures Railway Company 258. Sold to EJR,SW1500,34486
FTRL 1206,,SW1200,20671
FTRL 1515,Ex-ALS,SW1500,36858
FTRL 1670,blt 1/81 as MP 3516,GP50,807023-7
FTRL 1701,"EX CRR GP-11, EX INRD 1701 *Scrapped*",GP16,13535
FTRL 2011,,SW900,20553
FTRL 2903,,GP40-2LW,A3194
FTRL 3001,"Ex-UP, Nee-MKT. Sold to ATLT",GP40,35470
FTRL 3158,blt 2/72 as UP 3158,SD40-2,7334-36
FTRL 3161,Ex-UP 3161,SD40-2,7334-39
FTRL 8201,Ex-CP,GP9u,A959
FTRL 8223,Ex-CP,GP9u,A1129
