Unit Number,Notes,Model,Serial Number
GCRX 18,ex-LSI,2-8-0,46941
GCRX 29,ex LS&I 14,2-8-0,39637
GCRX 237,ex-AMTK,F40PH,777001-8
GCRX 239,ex AMTK 239,F40PH,777001-10
GCRX 295,ex AMTK 295,F40PH,777107-2
GCRX 1105,"ex BNSF 1325, ex ATSF 2117, ex ATSF 2747",GP7u,16391
GCRX 2134,ex-ATSF,GP7u,18898
GCRX 3009,,SW1000,
GCRX 4124,ex-NJTR,F40PHR,796380-12
GCRX 4128,ex-NJTR,F40PH-3,796380-16
GCRX 4960,ex-CBQ,2-8-2,56809
GCRX 6762,ex-CN 6762,FPA4,82271
GCRX 6773,"ex VIA 6773, ex CN 6773",FPA4,83151
GCRX 6776,"ex VIA 6776, ex CN 6776",FPA4,83154
GCRX 6793,"ex VIA 6793, ex CN 6793",FPA4,83171
GCRX 6793,Model: MLW FPA-4,PA4u,83171
GCRX 6860,"ex VIA 6860, ex CN 6860",FPB4,82276
GCRX 6871,ex VIA 6871. ex CN 6871,FPB4,82588
