Unit Number,Notes,Model,Serial Number
GLLX 4,Ex-C&O,SW9,15517
GLLX 100,Ex OAR 100,NW2,3609
GLLX 717,,NW2,8025
GLLX 850,"ex-LHR 27, ex-CR 2075, ex-GBW 323",C420,3463-01
GLLX 921,"Ex-N&W ""Miss Scarlet""",GP18,24930
GLLX 1017,ex-N&SS,T6,6017-02
GLLX 1397,Ex-UPY 1397,MP15AC,75629-9
GLLX 1416,Ex-UPY 1416,MP15AC,75629-16
GLLX 1512,Ex ABRX 1512 nee CRLE 1512 nee GTW 1512,SW1200,25744
GLLX 2480,Ex-CTR 2480 /WCLR 2480 /ATSF 2480,CF7,21137
GLLX 3001,Ex-CP 5595. Sold to MQT,SD40-2,A2639
GLLX 3002,"Ex-CP 5638. Sold to MQT, to HESR",SD40-2,72657-10
GLLX 3003,Ex-CP 5803. Sold to MQT,SD40-2,A3116
GLLX 4428,ex-GTW,GP9,19666
GLLX 4433,Ex-GTW,GP9,19671
