Unit Number,Notes,Model,Serial Number
GP 1,ex Canada Cement 1,50Tonner,32531
GP 1,nee: Manary Logging Co,2-8-2,55347
GP 5,"Broos-Scanlon Lumber Co. 5, to GP 5",2-8-2,55399
GP 9,Invalid Entry,UNKNOWN,Invalid Entry
GP 10,"2-8-2T, Schenectady 12/1930 as Coos Bay Lumber Co. #10",2-8-2,68548
GP 19,"Display; Harrod, Ohio.",Shay 3 Truck,1568
GP 151,ex-Worthington Pump and Machinery no #,45Tonner,31299
GP 38-2,Invalid Entry,GP38-2,Invalid Entry
GP 39-2,Invalid Entry,GP39-2,Invalid Entry
GP 6-021,Built 1951.,45Tonner,30791
GP 6-021,Built 1951.,UNKNOWN,30791
GP 6-021,Former Toledo paper mill switcher,65Tonner,
GP 6-021,,45Tonner,
GP 6-021,,UNKNOWN,30791
GP 6-021,,UNKNOWN,30791
