Unit Number,Notes,Model,Serial Number
GREX 1004,"Ex CEFX, ex INRD, nee SOO.",SD60,867164-8
GREX 1008,,SD60,
GREX 1010,EX SOO 6020,SD60,867164-21
GREX 5002,Ex-SOU,GP38-2,5809-2
GREX 5003,Ex-SOU,GP38-2,5809-4
GREX 5020,,DE10,
GREX 5220,,MoW Equipment,
GREX 5227,"nee nee SOU 5227, NS 5227 sold to Progr 5227, NS 5227, PRLX 5227, GREX 5227",GP38-2,767053-2
GREX 5230,"Georgetown Rail ""slot train""",DE10,
GREX 5240,"Georgetown Rail ""slot train""",DE10,
GREX 6000,Built from SW9 Designated DE10,DE10,13137
GREX 6001,Ex-CBL,DE10,9754
GREX 6002,,DE10,6182-11
GREX 6003,,DE10,
GREX 6004,,DE10,
GREX 6004,"Ex CEFX, ex INRD, nee SOO.",SD60,867164-5
GREX 6005,,DE10,
GREX 6006,,DE10,
GREX 6007,GREX 6007 SPS® (Self-Powered SlotMachine®),UNKNOWN,
GREX 6008,,UNKNOWN,
GREX 6009,,UNKNOWN,
GREX 6010,,UNKNOWN,
GREX 6011,SPS,UNKNOWN,
GREX 6013,GREX 6013,UNKNOWN,6013
