Unit Number,Notes,Model,Serial Number
INLX S-6,,Yard Slug,
INLX s7,,Yard Slug,
INLX 8,,SW1001,
INLX 8,,SW1001,
INLX 8,,SW1001,
INLX 8,,SW1001,
INLX 8,,SW1001,
INLX 8,,SW1001,
INLX S-8,,Yard Slug,
INLX S-12,,Yard Slug,
INLX 15,,SW1,
INLX 31,,SW1500,
INLX 42,,SC,603
INLX 72,,SW1,6171
INLX 76,,SW1,13547
INLX 85,ex-St. Louis & O'Fallon 51,S1,73908
INLX 89,,SW1200,22463
INLX 90,,SW1200,22464
INLX 91,,SW1200,22465
INLX 94,,SW1200,23988
INLX 96,,SW1200,23990
INLX 103,,SW1500,
INLX 104,,SW9,
INLX 105,,SW1200,25913
INLX 108,SW1200,SW1200,28936
INLX 109,,SW1200,30014
INLX 109,,SW1500,
INLX 111,,SW1200,30486
INLX 111,,SW1500,
INLX 114,,SW1200,25731
INLX 115,,SW1500,
INLX 122,,SW1500,35990
INLX 124,,SW1500,72608-1
INLX 126,,SW1001,756066-1
INLX 127,,SW1001,
INLX 128,,Unknown,
INLX 130,ex-IC,SW7,10042
INLX 131,ex-BCO 131,SW9,
INLX 141,P&PU 604,SC15-A,10085
INLX 142,NW 3358,SC15-A,9040
INLX 144,ex-P&PU 606,SC15-A,15561
INLX 148,,SC15-A,
INLX 150,,SC15-A,
INLX 151,,SC15-A,
INLX 300,,SW1500,
INLX 301,,SW1500,4626-1
INLX 304,,SW1500,
INLX 305,,SW1500,
INLX 310,,SW1500,
INLX 314,,SW1500,
INLX 316,,SW1500,
INLX 416,,GP15-1,
INLX 417,,GP15-1,767076-12
INLX 418,,GP15-1,787249-2
INLX 802,"Not sure on weight, might be a 65 Tonner",65Tonner,
INLX 803,,SW8,18295
INLX 1004,Ex YS&T 905 (SW1000),SW1500,33121
INLX 1013,,SW1500,
INLX 1114,,SW1500,
INLX 1123,,SW1500,
