Unit Number,Notes,Model,Serial Number
IRMX 30,blt 9/60 as C&IM 30,RS1325,25773
IRMX 102,"Ex SLRG, ex WSOR, ex MIGN, ex AMTK, nee UP.",E9B,20507
IRMX 103,,UNKNOWN,
IRMX E110,,UNKNOWN,
IRMX 200,,UNKNOWN,
IRMX 208,"Ex Gate City Industrial Center, nee MILW, returned to MILW.",HH660,69077
IRMX 260,"Ex TTI, ex BN, nee CBQ.",U23B,36119
IRMX 409,,UNKNOWN,
IRMX 515,"Ex IP (SNC, SLRG), ex AZER, ex METX, ex RTA, nee CNW.",E8A,18120
IRMX 902,ex MBTA; nee GTW,GP9,22863
IRMX 1802,,SD20,25415
IRMX 7009,acquired from NREX,SD50,847049-10
IRMX 15444,Power Car,Unknown,
