Unit Number,Notes,Model,Serial Number
ISCX 9,,UNKNOWN,
ISCX LO-010,,SW7,
ISCX 17,blt 10/74,SW1001,74627-1
ISCX 18,blt 11/74,SW1001,74627-2
ISCX 111,,CF7,7749
ISCX 145,,SW1200,
ISCX 145,,UNKNOWN,
ISCX 163,"09/1951, 4098-10, xSCL 163, xx",SW1200,14907
ISCX 168,,SW9,14912
ISCX 182,"11/1951, 4098-29, xSCL 182, xx",SW9,14926
ISCX 187,SW9,SW9,14931
ISCX 904,"04/1950, 4002-5, xACL 647",SW7,9177
ISCX 1001,Ex-ATSF,CF7,13722
ISCX 1227,"07/1951, 6228-4, xTP 1227, xxT",SW9,14513
ISCX 1230,"07/1951, 6228-7, xTP 1230, xxT",SW9,14516
ISCX 1939,00/0000,SW1,
ISCX 3005,ex-PRR,GP30,28155
ISCX 8418,05/1942,SW1,1603
