Unit Number,Notes,Model,Serial Number
JDHX 50,"ex PNM 50, ex NS 50, ex NW 2942, ex NKP 342",SD9m,23157
JDHX 1607,Ex-GN,GP9,24103
JDHX 1617,Ex-NP 232,GP9,20319
JDHX 1886,1600 hp blt by Texas Northern,UNKNOWN,
JDHX 1886,"ex NS 59, ex SOU 199, ex CG 207",SD9m,20450
JDHX 1886,"ex NS, ex SOU, ex CofG",SD9,20450
JDHX 1886,"ex SP 1221, ex SP 1054",S6,81725
JDHX 1886,"ex JDHX 1617, ex OHK 1617, ex BNSF 1617, ex BN 1858, ex NP 232",GP9,20319
JDHX 2001,"ex PNM 2001, ex NREX 2001, ex ARZC 2001, ex SECX 2001, ex UP 470, ex UP 700",GP20,26045
JDHX 4517,,GP9,22865
