Unit Number,Notes,Model,Serial Number
JRWX 86,Prime mover removed,S2,
JRWX 87,Rebuilt with Cummins (?) Prime,S2,
JRWX 88,,S2,
JRWX 89,,S2M,
JRWX 90,,S2,
JRWX 91,,35Tonner,34610
JRWX 94,ex-Washington Terminal 63,RS1,79048
JRWX 95,,100Tonner,
JRWX 111,Cummins Repower,S2M,
JRWX 115,Ex-URR,SW1,7505
JRWX 117,Ex-URR,SW1,7512
JRWX 121,Ex-MILW,SW1,1041
JRWX 123,Ex LRS 123,NW2,7521
JRWX 128,Model: Rebuilt EMD NW2R,Unknown,
JRWX 132,"Repowered with a Cummins motor, ex-Laurinburg & Southern, same number",S2,74493
JRWX 137,,S2,
JRWX 139,ex-DTI 915,NW2,5762
JRWX 140,Ex-RSCX,SW1,16116
JRWX 142,Ex-RSCX,SW1,14098
JRWX 1044,,Yard Slug,23374
JRWX 4283,,GP39,34788
JRWX 5035,ex-BN 5035,C30-7,42599
JRWX 5313,,SD40-2F,A3565
JRWX 8379,"Waste Managment, ex CPDR, ex ICG, nee IC.",GP10,25031
JRWX 8383,ex-SC Central,GP10,17974
JRWX 9992,,S2,
