Unit Number,Notes,Model,Serial Number
KCCX 1,"11/1947, retired 11/1983",125Tonner,29035
KCCX 2,(Ray Division). Sold to CBRY,GP39,36793
KCCX 2,ex-ASRX,RS3,78371
KCCX 3,ex-American Smelting & Refining 3,RS3,78372
KCCX 60,"2/1942, 75-ton electric, 750 VDC",Steeple Cab,15100
KCCX 80,,Steeplecab,12233
KCCX 103,"Currently at the Pacific Southwest Railway Museum painted as ""ATSF 2098"".",RS2,77564
KCCX 106,"Sold to BCOL, to HLCX, to WAMX",SD40-2,776129-6
KCCX 109,,RS3,78426
KCCX 201,re# KCCX 909 (Utah),RSD4,78217
KCCX 310,,25 Tonner,30588
KCCX 401,3000/750 Vdc Electric,125Tonner,29035
KCCX 402,,125Tonner,29036
KCCX 402,,Steeple Cab,29036
KCCX 404,,125Tonner,
KCCX 407,,125Tonner,29120
KCCX 700,75 ton,70Tonner,10258
KCCX 702,75 ton,70Tonner,10657
KCCX 703,75 ton,70Tonner,10658
KCCX 704,,MP15AC,776117-2
KCCX 705,"Built w/ ""Hi-Cab""",GP39-2,796342-1
KCCX 706,,GP39-2,796342-2
KCCX 707,,GP39-2,796342-3
KCCX 709,"Sold to RARW, to UCRY",GP39-2,796342-5
KCCX 710,,GP39-2,796342-6
KCCX 714,ex RI 943,SW1500,31748
KCCX 734,blt 3/48 as KCC 901,DRS4-4-1500,73474
KCCX 742,75 ton retired 08/26/1976,70Tonner,12155
KCCX 748,"75 ton, retired 03/31/1982",70Tonner,12169
KCCX 750,75 ton retired 03/15/1979,70Tonner,12171
KCCX 752,Built as 75 tonner in April 1937,70Tonner,12173
KCCX 759,,85Tonner,
KCCX 761,"blt 2/42, 90 ton, retired 08/16/1982",95 Tonner,15101
KCCX 762,90 ton Pantograph mounted on cab roof,95 Tonner,15102
KCCX 763,"2/1942, retired 8/16/82 90 ton",95 Tonner,15103
KCCX 766,"ex-Utah Copper 800, retired 11/11/1983",125Tonner,30920
KCCX 767,"ex-Utah Copper 801, retired 11/11/1983",125Tonner,30921
KCCX 770,"blt 10/14/1955 as Utah Copper 804, retired 11/11/1983",125Tonner,32391
KCCX 771,"ex-Utah Copper 805, retired 11/11/1983",125Tonner,32392
KCCX 773,"built as Utah Copper 807 in Nov 1955, re# 873, 773",125Tonner,32394
KCCX 775,"9/1948, ex KCC 61",70Tonner,30374
KCCX 778,"blt as KCCX-Chino 104, re# 4, 778",125Tonner,33348
KCCX 784,Hi cab. Sold to TCWR,GP39-2,766028-6
KCCX 785,,GP39-2,766028-7
KCCX 790,elevated cab. Sold to TCWR,GP39-2,776116-1
KCCX 792,elevated cab,GP39-2,776116-3
KCCX 798,"Built w/ ""Hi-Cab"". Sold to NREX, to DAIR",GP39-2,776116-9
KCCX 799,,GP39-2,776116-10
KCCX 801,blt 9/57,35Tonner,33104
KCCX 802,ex-NYC 9313 > PC 8097 > KCCX 802,S12,75548
KCCX 904,last SD24. no MU. no torpedos,SD24,28170
KCCX 905,"Sold to RARW, to CEFX",GP39-2,756151-1
KCCX 906,to LLPX 131,MP15AC,756152-1
KCCX 908,"ex-104, re# KCCX 908 (Utah)",RS2,77888
KCCX 911,"Built w/ ""Hi-Cab""; Ex-KCCX 786. Sold to NREX, to DAIR",GP39-2,766028-8
