Unit Number,Notes,Model,Serial Number
KMTX SL1,Massey Coal Kinder Morgan,SL 110,41257
KMTX SL2,Massey Coal Kinder Morgan,SL 110,41258
KMTX SL3,Massey Coal Kinder Morgan,SL 110,41259
KMTX 100,ex-NYC,NW2R,6208
KMTX 101,ex-PRR,NW2R,5809
KMTX 104,Ex-LN,MP15DC,74778-6
KMTX 204,Ex-ATSF,CF7,9599
KMTX 220,Kinder Morgan Switcher,SW1200,
KMTX 404,ex-NREX 101,SW1500,7233-6
KMTX 820,Sold to WRIX,SW1500,35760
KMTX 1111,,SW1200,
KMTX 1200,,SW1200,
KMTX 1201,,NW2,
KMTX 1295,Ex-TP,SW1200,31243
KMTX 1500,,CF7,
KMTX 1593,,GP10,A347
KMTX 2007,,SW1200r,
KMTX 2022,"flared radiators, no rear porch small front porch",SD45,34170
KMTX 2022,,SD40M-2,34170
KMTX 2604,ex-ATSF,CF7,18929
KMTX 3000,,SD40-2,72643-1
KMTX 3001,Model: SD40-2,Unknown,72641-3
KMTX 3002,,SD40-2,786182-3
KMTX 6307,,SD40-2,72641-3
KMTX 6310,ex-MILW,SD40-2,72643-1
KMTX 9055,ex-MILW,GP20,23536
