Unit Number,Notes,Model,Serial Number
LDSX 1,Model: EMD SW1001,UNKNOWN,797355-1
LDSX 144,* Should be LOSX *,SW9,INVALID
LDSX 176,,UNKNOWN,
LDSX 176,ex-GMDD D0069,SW900,19703
LDSX 178,,SW1200RS,
LDSX 178,,SW1200RS,A759
LDSX 178,ex-CN,SW1200RS,A759
LDSX 178,,UNKNOWN,
LDSX 178,,UNKNOWN,
LDSX 178,,UNKNOWN,
LDSX 179,,SW1200RS,
LDSX 179,,SW1200RS,
LDSX 269,Yard Slug,Unknown,
LDSX 269,,Yard Slug,
LDSX 1251,,SW1200RS,A1023
LDSX 1597,GP9u,GP9,A1143
LDSX 2001,,GP38-2,33704
LDSX 2003,"Ex-GMTX 2003, Ex-LLPX 2015, Ex-CSX 1947, Ex-CR 7673, nee-PC 7673",GP38,36804
LDSX 3920,* Should be 7920 *,SW900,INVALID
LDSX 4003,Ex-SP,GP9,25647
LDSX 6089,Built as Stelco #89,SW900,A2058
LDSX 6900,,SW900,19703
LDSX 7224,,GP9,
LDSX 7920,,SW900,A584
LDSX 8620,"ex-NYC 9620. Sold to IRSI, to ARS, to FOMX",SW8,16195
