Unit Number,Notes,Model,Serial Number
LOCX 5,,80Tonner,31844
LOCX 44,ex-BO,SW1200r,23362
LOCX 44,,SW1,
LOCX 68,EX CCLX/CORN Plant Switcher,SW1000,34871
LOCX 101,Ex HBT 37,SW1200,31687
LOCX 102,,SW1200,
LOCX 216,Model: EMD SW1200,SW1200,
LOCX 605,ex-MRL,SD9,18399
LOCX 1005,Ohio Locomotive Works Model LG1005,SW1200r,23362
LOCX 1011,,NW2,
LOCX 1201,,TR6B,
LOCX 1202,,TR6B,
LOCX 1205,Ex-UP 1865 built as an SW9 in 11/1953.,SW10,18853
LOCX 1207,ex-UP 1859/1207,SW10,18847
LOCX 1218,,SW10B,18848
LOCX 1225,ex-UP,SW10,17815
LOCX 1226,Ex-UP,SW10,18846
LOCX 1228,ex-UP,SW10,15074
LOCX 1231,(?),SW10,
LOCX 1237,blt 11/50 as UP SW7 1824,SW10,10776
LOCX 1256,,SW10,10772
LOCX 1264,Ex-UP,SW10,17811
LOCX 1300,"Ex-IC. Sold to SIRX, to MRA",SW1300,1032A
LOCX 1406,,SW14,
LOCX 2944,ex-PRR,GP10,24288
LOCX 91008,,Yard Slug,
