Unit Number,Notes,Model,Serial Number
LTVX S-3,Rebuilt from ?,Yard Slug,
LTVX s5,,Yard Slug,
LTVX S10,,Yard Slug,
LTVX s11,,Yard Slug,
LTVX 63,ex-River Terminal 63,SW1200,25442
LTVX 200,,UNKNOWN,
LTVX 345,,SW8,
LTVX 501,Ex-YST,25 Tonner,61107
LTVX 700,"Blt 7/57 as MCRR 700, to ASRR 700, LTV 700, used as parts source",RS11,82370
LTVX 1007,Ex YS&T 908,SW1000,34027
LTVX 1008,SW1000 (Ex YS&T 909),SW1000,34028
LTVX 1009,SW1000 (Ex YS&T 910),SW1000,34129
LTVX 1010,"ex-YSTX 911, ex-JLSX 1010",SW1000,34524
LTVX 1013,,SW1000,35043
LTVX 1201,SW9,SW1200,17995
