Unit Number,Notes,Model,Serial Number
MKCX 162,x-MILW 162,SD40-2,7396-33
MKCX 204,,C420,84726
MKCX 319,ex-SB 43,S6,82294
MKCX 629,ex-KCS 629,SD40,35841
MKCX 2966,,SD39,34888
MKCX 4104,ex-SLSF,GP7,15857
MKCX 4301,Ex-BO,GP40-3,34852
MKCX 4301,mk rebuilt 7/79,GP7,14577
MKCX 4301,Ex-BO. Sold to RS,GP40,34852
MKCX 4302,"ex-IC/ICG 3074, ex-HLCX 3074. Sold to PAL",GP40,36170
MKCX 4302,ex-P&LE 5679/1530 rebuilt mk 12/79,GP7,14576
MKCX 4303,ex-B&O. Sold to PAL,GP40,37193
MKCX 4304,"ex-SAL 628, ex-SCL 1543, ex-SBD 6698",GP40,31797
MKCX 4305,"ex-C&O 4087, ex-CSXT 6842",GP40,38567
MKCX 5001,"blt as UP GP9 278, reblt 7/79. Sold to ME",TE-47-4E,19875
MKCX 5203,,23Tonner,
MKCX 5302,"TE53-4E, ex UP.",TE70-4S,34230
MKCX 5303,"TE53-4E, ex UP.",TE70-4S,34233
MKCX 5348,"Ex. AT&SF. Sold to CEFX, to GLC",SD45u,32543
MKCX 5349,ex ATSF 1886/5586/5349,SD45u,32562
MKCX 5353,Ex-ATSF,SD45u,32540
MKCX 5355,Former ATSF 5355 MK Leased 8/95,SD45u,32524
MKCX 5365,Ex. AT&SF 1836/5336/5365,SD45u,32512
MKCX 5366,,SD45u,32508
MKCX 5374,ex-ATSF 5620/5375,SD45u,36499
MKCX 5376,ex-ATSF 5624/5376,SD45u,36493
MKCX 5402,"nee-Alco demonstrator #636-2. Sold to QCM, to NYSW, to WNYP *Scrapped*",C636,6008-02
MKCX 5525,,F45,34036
MKCX 5527,,F45,34044
MKCX 5530,"ex-ATSF 1919, 5919, 5969",SDF45,34055
MKCX 5531,ex-ATSF. soon to be UTAH 9013,F45,34046
MKCX 5961,Ex-ATSF,F45,34047
MKCX 5980,Ex-ATSF,SDF45,34066
MKCX 5983,ex-ATSF 1933/5933/5983,SDF45,34069
MKCX 6101,ex-PRR/PC/CR 2423,C425,3403-02
MKCX 7500,x-BO 7500,SD40,34778
MKCX 8301,"ex-EMDX 4203, ex-SP 9503",SD40M-2,36808
MKCX 8302,ex-SP 8820,SD40M-2,32011
MKCX 8304,"ex-UP 3059, to MK 8/23/89",SD40,32411
MKCX 8402,"ex-CO 7451/7551, ex-CSXT 8402",SD40,31930
MKCX 8403,"ex-CO 7452/7552, ex-CSXT 8403",SD40,31931
MKCX 8411,"ex-CO 7460/7560, ex-CSXT 8411",SD40,31939
MKCX 9003,"ex MKCX 8303, ex SP 8402",SD40M-2,31562
MKCX 9004,SD45m,SD40M-2,
MKCX 9005,Ex-SSW,SD40M-2,34420
MKCX 9012,ex-SP 9083,SD40M-2,34918
MKCX 9013,,SD40M-2,34364
MKCX 9014,,SD40M-2,32407
MKCX 9015,,SD40M-2,32424
MKCX 9016,Ex-UP,SD40M-2,32426
MKCX 9019,,SD40M-2,34931
MKCX 9023,,SD40M-2,33847
MKCX 9024,ex-PC 6180,SD40M-2,33814
MKCX 9026,ex-BN,SD40M-2,34555
MKCX 9028,,SD40M-2,
MKCX 9029,,SD40M-2,33824
MKCX 9030,,SD40M-2,33806
MKCX 9031,,SD40M-2,34933
MKCX 9032,Ex-PRR,SD40M-2,33823
MKCX 9033,"ex CNW 6742, ex BN 6742",SD40M-2,36361
MKCX 9034,ex-PRR 6176,SD40M-2,33810
MKCX 9035,ex-PRR 6222,SD40M-2,33846
MKCX 9036,"EMD, 1/1968, nee-PRR SD45 6227",SD40M-2,33851
MKCX 9039,ex-LN,SD40M-2,35949
MKCX 9040,Ex-LN 1249,SD40M-2,38203
