Unit Number,Notes,Model,Serial Number
MPRX 3,,UNKNOWN,
MPRX 3,,UNKNOWN,
MPRX 4,,UNKNOWN,
MPRX 4,,UNKNOWN,
MPRX 5,,SD40-2,
MPRX 6,,SW7,
MPRX 9,INVALID,SW1500,
MPRX 9,,RL1500,
MPRX 9,Model: RL1500,UNKNOWN,
MPRX 15,,NW2,4989
MPRX 48,Ex-PBNE,SW1,1229
MPRX 50,,UNKNOWN,
MPRX 56,,CF7,6621
MPRX 101,,65Tonner,
MPRX 101,,UNKNOWN,
MPRX 131,,UNKNOWN,
MPRX 133,,UNKNOWN,
MPRX 309,blt 10/47 as EJ&E 409,NW2,4772
MPRX 309,Model: EMD NW2,UNKNOWN,4772
MPRX 505,,UNKNOWN,
MPRX 905,,SW1200RS,A1565
MPRX 905,ex-MP,SW1200,29780
MPRX 1000,,UNKNOWN,
MPRX 1200,"Sold to CPGP, to SLRS",SW1200,11736
MPRX 2024,,UNKNOWN,
MPRX 2024,Ex-GECX same #,ET44AC,61742
MPRX 2238,blt 8/39 as ATSF NW2 2357,Yard Slug,919
MPRX 2810,ex-Southern,GP38,36058
MPRX 3513,blt 7/65 as CB&Q 9287,SW1200,30539
MPRX 8609,ex-NS,C39-8,44929
MPRX 8625,ex-NS,C39-8,45313
MPRX 8634,ex-NS,C39-8,45322
MPRX 8645,ex-NS,C39-8,45355
MPRX 8734,"Luck Stone Chesapeake, VA",GP11,23704
