Unit Number,Notes,Model,Serial Number
MSC 2,Ex-SP 7004/2954,RSD12,83644
MSC 7,,25 Tonner,40632
MSC 7,Blt 1915; Display Lake Superior RR museum,0-4-0T,5737
MSC 9,,Interurban,
MSC 50,,25 Tonner,
MSC 98,"Schenectady 02/1909, to LA Eastern in 1946, to Strasburg in 1960",4-4-0,45921
MSC 107,,Trolley,
MSC 108,,SW10,18840
MSC 124,"Brooks 12/1923 as J.J. Newman Lbr. Co. #20, to MSC 124 in 12/1935, to Green",2-8-2,63168
MSC 131,"Brooks 12/1923, sold to SW Steel but scrapped due to derailment in 1953",2-8-2,65352
MSC 141,"Schenectady 10/1923, toGreen Bros. Gravel in 1953",2-8-2,64916
MSC 150,"Richmond 03/1913, ex-IC 1117/2077, to MSC 150 in 1948",4-6-2,53199
MSC 504,,Interurban,
MSC 610,,Interurban,
MSC 611,Ottawa Car Company 1917 wooden,Interurban,
MSC 621,,Interurban,
MSC 2439,Ex-ATSF,GP30,28062
MSC 2446,,GP40-2,
MSC 2446,Ex-ATSF,GP30u,28069
MSC 5601,Material Services switcher,SW9,
MSC 48-5601,,SW900,19561
MSC 49-5601,,SW900,19561
MSC 49-5601,,SW900,19561
