Unit Number,Notes,Model,Serial Number
MTSX 3,,SW8m,19072
MTSX 3,,SW8m,19702
MTSX 3,,SW8m,19072
MTSX 3,,SW8m,19072
MTSX S4,,Yard Slug,
MTSX 7,,SW1001,
MTSX 7,,SW1000,
MTSX 8,,SW1001,
MTSX 8,,SW1200,
MTSX LO-011,,Unknown,
MTSX LO-12,ArcelorMittal former Acme Steel,SW8,
MTSX LO-015,Ex-GLSX,SW1,1327
MTSX 109,Model: SW1500,SW1200,
MTSX 109,,SW1500,
MTSX 111,,SW1200,
MTSX 112,Mittal Steel,SW1200,30487
MTSX 113,Ex INLX 113,SW1200,30488
MTSX 114,,SW1200,30489
MTSX 115,,SW1500,
MTSX 121,Ex-UP,SW10,17816
MTSX 123,Ex-UP,SW10,10769
MTSX 140,Ex INLX 140,SC15-A,
MTSX 142,,SC15-A,
MTSX 143,,SC15-A,
MTSX 145,Ex INLX 145,SC15-A,
MTSX 146,Ex INLX 146,SC15-A,
MTSX 147,Ex INLX 147,SC15-A,
MTSX 148,Ex INLX 148,SC15-A,
MTSX 149,Ex INLX 149,SC15-A,
MTSX 150,Ex INLX 150,SC15-A,
MTSX 152,,SW1200,22462
MTSX 153,Ex INLX 89 (Mittal Steel),SW1200,22463
MTSX 155,,SW1200,
MTSX 301,,SW1500,4626-1
MTSX 303,,SW1500,
MTSX 304,,SW1500,
MTSX 305,,SW1500,36839
MTSX 307,,SW1500,
MTSX 310,,SW1500,
MTSX 314,,SW1500,38472
MTSX 316,,SW1500,
MTSX 417,blt 9/77 as SLSF 111,GP15-1,767076-12
MTSX 418,"nee CR 1601, CSXT 1526, LLPX 1507, GMTX 418, MTSX 418",GP15-1,787249-2
MTSX 803,,SW8,18295
MTSX 1007,Ex YS&T,SW1000,
MTSX 1008,,SW1000,
MTSX 1012,,SW1000,
MTSX 1013,"Ex YS&T 914, LTV 1013",SW1000,35043
MTSX 1400,ArcelorMittal in mill switcher,SW1,
