Unit Number,Notes,Model,Serial Number
NSSX 15,Ex-Hanna Furnace,SW1,6259
NSSX 485,,NW2,
NSSX 1109,ex-SP. Sold to NRE,SW8,17331
NSSX 4011,Ex-NS/SOU 4011,B23-7,43369
NSSX 8202,"Ex-NS, Exx-CR",C39-8,45331
NSSX 8205,ex-CR,C39-8,45337
NSSX 8207,"Ex-NS, Exx-CR",C39-8,45339
NSSX 8208,"Ex-NS, Exx-CR",C39-8,45341
NSSX 8211,"Ex-NS, Exx-CR",C39-8,45344
NSSX 8212,"Ex-NS, Exx-CR. Sold to NHRR, to PN",C39-8,45348
NSSX 8583,,C39-8,44903
NSSX 8584,Ex NS 8584,C39-8,44904
NSSX 8590,,C39-8,44910
NSSX 8591,,C39-8,44911
NSSX 8601,,C39-8,44921
NSSX 8612,,C39-8,44932
NSSX 8632,,C39-8,45320
NSSX 8635,Ex-NS 8635,C39-8,45323
NSSX 8637,,C39-8,45325
NSSX 8669,ex-NS,C39-8E,45389
