Unit Number,Notes,Model,Serial Number
OFOX 2783,,SD40M-2,35480
OFOX 2785,,SD40M-2,35765
OFOX 2787,Drgw 5325 Sd45 > CEFX/CITX/OFOX 2787 Sd40m-2 > WAMX 4223,SD40M-2,33757
OFOX 2788,Sold to WAMX,SD40M-2,34164
OFOX 2789,"Ex CEFX,CITX and UP. Sold to WAMX",SD40M-2,33563
OFOX 2792,,SD40M-2,
OFOX 2797,Ex-SP. Sold to WAMX,SD40-2,34932
OFOX 2801,Ex-SP,SD40-2,34000
OFOX 2808,,SD40-2,
OFOX 2810,,SD40-2,34002
OFOX 3070,,SD40-2,
OFOX 3084,Sold to IN,SD40-2,A2160
OFOX 3104,,SD40-2,A2164
OFOX 3076,ex-SOO,SD40-2,37426
