Unit Number,Notes,Model,Serial Number
OIM 806,"Blt 1910; Display Mountain Iron, Mn",0-8-0,34756
OIM 900,display,HH1000,69317
OIM 929,,DS44-1000,74189
OIM 1101,,RS2,75268
OIM 1200B,,S8,75247
OIM 1201,"Blt 7/51, Ret. appox. 1983",S8,75244
OIM 1201A,,S8,75244
OIM 1203A,,S8,75246
OIM 1203B,,S8,75250
OIM 1204A,,S8,75488
OIM 1204B,,S8,75491
OIM 1206A,,S8,75490
OIM 1206B,,S8,75493
OIM 1207A,,TR6A,14829
OIM 1207B,,TR6B,14832
OIM 1209A,,TR6A,14831
OIM 1209B,,TR6B,14834
OIM 1214A,,S8,75692
OIM 1214B,,S8,75696
OIM 1216B,,TR6B,18620
