Unit Number,Notes,Model,Serial Number
PRLX,,SD60M,
PRLX 2,PR22L,UNKNOWN,
PRLX 24,Progress Rail PR24B; FN: 7332-1,UNKNOWN,37839
PRLX 61,Model: SW900,SW1200,26349
PRLX 93,Ex- LC 93,SW1200,24132
PRLX 104,"ex-MKT 51, ex-UP 1323, ex-DUPX 104",SW1500,33489
PRLX 200,nee ATSF 200,SD75M,946503-1
PRLX 200,nee ATSF 200,SD75M,946503-1
PRLX 201,"nee ATSF 201, BNSF 8201, BNSF 201, PRLX 201",SD75M,946503-2
PRLX 201,"nee ATSF 201, BNSF 8201, BNSF 201, PRLX 201",SD75M,946503-2
PRLX 203,Ex-ATSF,SD75M,946503-4
PRLX 204,Ex-ATSF,SD75M,946503-5
PRLX 205,Ex-ATSF,SD75M,946503-6
PRLX 206,Ex-ATSF,SD75M,946503-7
PRLX 207,Model: EMD SD75M,SD70M,946503-8
PRLX 208,Ex-ATSF,SD75M,946503-9
PRLX 209,Ex-DM&IR,SD38-2,74649-1
PRLX 210,Ex-ATSF,SD75M,946503-11
PRLX 211,Ex-ATSF,SD75M,946503-12
PRLX 212,Ex-ATSF,SD75M,946503-13
PRLX 213,Ex-ATSF,SD75M,946503-14
PRLX 214,Ex-ATSF,SD75M,946503-15
PRLX 215,Ex-ATSF,SD75M,946503-16
PRLX 216,Ex-ATSF,SD75M,946503-17
PRLX 217,Ex-ATSF,SD75M,946503-18
PRLX 219,Ex-ATSF,SD75M,946503-20
PRLX 220,Ex-ATSF,SD75M,946503-21
PRLX 221,Ex-ATSF,SD75M,946503-22
PRLX 223,Ex-ATSF,SD75M,946503-24
PRLX 224,Ex-ATSF,SD75M,946503-25
PRLX 225,nee QNSL 225 *Scrapped*,SD40-2,A2617
PRLX 226,Ex-ATSF,SD75M,946503-27
PRLX 227,nee QNSL 227 *Scrapped*,SD40-2,A2619
PRLX 228,Ex-ATSF,SD75M,946503-29
PRLX 231,Ex-ATSF,SD75M,946503-32
PRLX 232,Ex-ATSF,SD75M,946503-33
PRLX 234,nee QNSL 234,SD40-2,A2626
