Unit Number,Notes,Model,Serial Number
RAYO 2,"Willamette, blt for Saginaw Timber Co",UNKNOWN,34
RAYO 2,ex-Saginaw Timber Co. 2,2-8-2,38967
RAYO 4,"Willamette, ex- Long-Bell Lumber Co. 701, s/n 16, blt 1924",UNKNOWN,16
RAYO 7,,SW7,
RAYO 8,ex-Bloedel-Donovan Lumber Co. 9,2-6-6-2,58064
RAYO 10,ex-Hofius Steel & Equipment Co. 14,Shay 3 Truck,3348
RAYO 38,"ex-Weyerhauser Timber Co. 4, to Sierra 38",2-6-6-2,61781
RAYO 45,ex-Polson Lumber Co.,2-6-2,27311
RAYO 45,Former SP 5273,AS616,75469
RAYO 90,ex-Polson Lumber Co.,2-8-2,59071
RAYO 202,"blt 07/56, blt with GE electricals",S12,76137
RAYO 203,ex-McCloud River 30,S12,75912
