Unit Number,Notes,Model,Serial Number
RILX 111,Incorrect listing.,SW7,Incorrect listing.
RILX 278,,SW1200,
RILX 488,Ex-ATSF,CF7,17949
RILX 701,Ex-PRR,GP10,20709
RILX 1106,"""John W. Whitten III,"" ex GMTX, ex LLPX, ex UP, ex CNFR, nee CNW.",GP15-1,757142-12
RILX 1216,RLIX*,SW1200,29242
RILX 1555,Ex-SOU,SD38-3,30891
RILX 1559,blt 1/66 as SOU 3099,SD38P,30905
RILX 2101,Ex-CNW,C40-8,46782
RILX 2109,Ex-CNW,C40-8,46790
RILX 2127,"Ex-CN, UP, CNW",C40-8,46772
RILX 3024,blt 2/63 as D&RGW 3024,GP30,28053
RILX 4310,Incorrect model. RILX 4310 is a GP38-2.,GP38,36012
RILX 4310,"""American Railfan,"" ex GMTX, ex IAIS, nee SOU.",GP38-2,36012
RILX 4373,"""George W. Lamore""",GP38-2,35345
RILX 4373,,GP38,35345
