Unit Number,Notes,Model,Serial Number
RLIX 17,ex-IC,GP10,21490
RLIX 107,ON GVSR now,SW1200,29640
RLIX 108,,NW2R,29639
RLIX 111,,SW7,8502
RLIX 137,Mandated Scrapping by EPA,SW7,10390
RLIX 146,ex-Canton 46,SW900,23075
RLIX 148,ex-Canton 48,SW900,23077
RLIX 152,,GP7,13365
RLIX 154,"blt as GN 654, ex-BN 1554",GP7,17868
RLIX 164,SW9,SW7,14908
RLIX 202,"Ex-RF&P 83, CSX 1302",SW1200,30515
RLIX 203,"blt as RF&P 84, ex-CSX 1303",SW1200,30511
RLIX 208,"ex-ITC 782, ex-NW 1208",SW1200,20673
RLIX 212,"ex-ITC 786, ex-NW 1212",SW1200,20677
RLIX 230,ex-DRGW 130,SW1200,30016
RLIX 233,,SW1200,18965
RLIX 238,,SW1200,30027
RLIX 241,,SW7,15487
RLIX 247,ex-PRR,SW7,10412
RLIX 266,Ex-MP. Mandated Scrapping by EPA,SW10,12561
RLIX 278,ex-FWD 609. Sold to LTEX,SW1200,25045
RLIX 285,"07/1965, 7811-2",SW1200,30512
RLIX 331,ex-PC/CR 9517,SW1500,7355-8
RLIX 336,"ex-PC,CR",SW1500,7355-27
RLIX 339,nee PC,SW1500,7355-30
RLIX 340,,SW1500,7355-31
RLIX 349,Ex Conrail,SW1500,7355-40
RLIX 392,,SW1500,31711
RLIX 402,"ex-CR,P&E",GP8,12999
RLIX 403,"ex-CR,P&E",GP8,13005
RLIX 426,,GP16,21523
RLIX 427,,GP16,21518
RLIX 435,,GP7,14570
RLIX 437,,GP7,14569
RLIX 439,,GP7,17676
RLIX 444,"Sold to CWRY, to FCRD",GP16,11917
RLIX 473,,GP16,15599
RLIX 477,Ex-ATSF,CF7,8937
RLIX 486,Sold to CLNA,GP10,20165
RLIX 518,Ex-ATSF,CF7,6626
RLIX 555,Ex-ATSF. Sold to AARX,CF7,7756
RLIX 1002,,SW1001,776103-2
RLIX 1003,"Ex-SAPT, Exx-CR, Exxx-RDG",SW1001,73623-24
RLIX 1004,This unit is on the Galveston. Mandated Scrapping by EPA,SW1001,776052-1
RLIX 1005,"Ex GVSR, nee GWF, to SSRX, to GMTX.",SW1001,756080-1
RLIX 1006,REBUILT EX CONRAIL ALCO MTA WITH RS11 SHELL.,MT4,81928
RLIX 1204,,SW1200,18967
RLIX 1206,,SW1200,30242
RLIX 1210,Rebuilt to SW1001-1 from RLIX 202,SW1200r,30515
RLIX 1211,,SW1200,20547
RLIX 1212,,SW1200,20677
RLIX 1214,,SW1200,29639
RLIX 1215,ex- RLIX 203,SW1200,30511
RLIX 1219,"Ex SCRF, ex MNA, ex AUNW, nee PHDX.",SW1200,2352
RLIX 1220,SW1200-3,SW1200,30027
RLIX 1249,,SW900,23077
RLIX 1250,ex-NYC. Mandated Scrapping by EPA,SW9,16312
RLIX 1251,ex. Ohio Central System. Mandated Scrapping by EPA,SW7,13020
RLIX 1251,,SW1200,13020
RLIX 1342,ex twry 1342,GP18,25459
RLIX 1428,ex-CR,GP15-1,787249-86
RLIX 1500,,SW1500,34429
RLIX 1503,,SW1500,36656
RLIX 1507,"ex-BPRR 1507, QGRY 1507, CR 9519, PC 9519",SW1500,7355-10
RLIX 1517,,SW1500,31753
RLIX 1518,,SW1500,31754
RLIX 1519,,SW1500,35070
RLIX 1522,,SW1500,31711
RLIX 1523,,SW1500,7355-48
RLIX 1524,,SW1500,7355-31
RLIX 1526,Ex-PC,SW1500,7355-8
RLIX 1528,,SW1500,35590
RLIX 1706,RAIL LINK,GP10,24296
RLIX 1761,,GP16,21523
RLIX 4929,,GP9,20316
RLIX 5911,ex-DRGW,GP9,20523
