Unit Number,Notes,Model,Serial Number
RMSX UNKNOWN,Unidentified,UNKNOWN,
RMSX 5,Pandrol Jackson Rail Grinder,GP38-2,
RMSX 13,"GP38, ex-PC 7816/CR 7816/MW 111(RMS-11&13)/RMSX 111",GP38,35445
RMSX 109,"F40PH-2M, Speno S-2/MW 109/RMSX 0711",F40PH-2C,816021-2
RMSX 112,,Yard Slug,
RMSX 138,,UNKNOWN,
RMSX 201,"F40PH-2M, Speno S-4/MW 201/RMSX 0411",F40PH,846066-2
RMSX 212,"F40PH-2M, Speno S-3/MW 212/RMSX 0511",F40PH,846066-1
RMSX 401,Ex-PC,GP38,35443
RMSX 501,"GP38, ex-PC 7768/CR 7768/MW 121(RMS-12)/RMSX 0501",GP38M-2,35397
RMSX 511,"F40PH-2M, Speno S-3/MW 212/RMSX 0511",F40PH-2CAT,846066-1
RMSX 511,"F40PH-2M, Speno S-3/MW 212/RMSX 0511",F40M-2C,846066-1
RMSX 511,"F40PH-2M, Speno S-3/MW 212/RMSX 0511",Unknown,846066-1
RMSX 600,,UNKNOWN,
RMSX 601,"GP38, ex-PRSL 2001/CR 7661/RG 801/MW 201(1nd)/MW 141(RMS-14)/RMSX 0601",GP38-2,33798
RMSX 601,"GP38, ex-PRSL 2001/CR 7661/RG 801/MW 201(1nd)/MW 141(RMS-14)/RMSX 0601",GP38M-2,33798
RMSX 611,"F40PHR, ex-AMTK 292/RMSX 0611",F40M-2C,777063-13
RMSX 701,"F40PH-2M, Speno S-1/MW 101/RMSX 0701",F40PH-2CAT,816021-1
RMSX 701,"F40PH-2M, Speno S-1/MW 101/RMSX 0701",F40PH,816021-1
RMSX 711,Chopped Nose,F40PH-2CAT,
RMSX 711,"F40PH-2M, Speno S-2/MW 109/RMSX 0711",F40PH-2CAT,816021-2
RMSX 806,Rebuilt B23-7 with Cummins Power containers installed,B23-7,42158
RMSX 901,Rail Grinder Control unit,UNKNOWN,RMS 9
RMSX 902,,UNKNOWN,
RMSX 907,,UNKNOWN,
RMSX 910,Rail grinder power,UNKNOWN,
RMSX 911,,UNKNOWN,
RMSX 912,Control unit for Rail Grinder,UNKNOWN,
RMSX 1001,HTT Railgrinder,MoW Equipment,
RMSX 1006,,MoW Equipment,
RMSX 1010,,MoW Equipment,
RMSX 1012,Harsco Railgrinder,MoW Equipment,
RMSX 1101,,UNKNOWN,
RMSX 1106,Rebuilt B23-7 with Cummins Power Containers installed,B23-7,42559
RMSX 1110,Rebuilt B23-7 with Cummins Power Containers installed,B23-7,41992
