Unit Number,Notes,Model,Serial Number
RRPX 41,ex-Cartier 41. Sold to DL,M636,6037-01
RRPX 43,"ex-NYSW 3670, QCM 43, CN 2302",M636,6037-03
RRPX 78,"Ex Cartier 78, Exx UP Exx ALCO",C636,6008-02
RRPX 85,"ex-NYSW 3674, QCM 85",M636,6085-05
RRPX 557,ex-Amtrak 557,SW1200,18090
RRPX 563,"ex-AMTK, nee-ATSF",SSB1200,18098
RRPX 563,,SSB1200,18098
RRPX 764,,GP9,19186
RRPX 2338,ex-CN 2338,M636,6052-19
RRPX 4223,"ex-ME, DL, QGRY, CP 4223",C424,3399-23
RRPX 4228,"ex-ME, DL, QGRY, CP 4228",C424,3399-28
RRPX 7205,Ex-LTV Mining,RS11,81930
RRPX 7210,Ex LTV Mining,RS11,82038
