Unit Number,Notes,Model,Serial Number
RSSX 1,"12/1973, xETCX 1",SW1500,73637-1
RSSX 7,"P&LE number of 1556, it is b/n",SW1500,38465
RSSX 8,blt 10/72 as P&LE 1549,SW1500,7376-6
RSSX 10,,GP7,17770
RSSX 19,This is an EMD GP 7.,GP7R,
RSSX 19,,LEAF,
RSSX 35,,LEAF,
RSSX 46,Ex-SP,GP9E,22913
RSSX 61,Ex Indiana & Ohio,GP9,21704
RSSX 101,"ex-MILW 2056, re# 608",SW1200,20049
RSSX 102,Ex-NS/NW was NW GP9 520,TC-10,24962
RSSX 103,exN&W GP9 513 c/n 24955 blt 11/58,TC-10,24955
RSSX 110,EMD SW1200. Sold to BAYL,SW1200,23361
RSSX 112,rebuilt to S-2m ACL 31 [Oct56] > SCL 112 > Republic Locomotive (D) > Champi,S2M,70200
RSSX 129,"nee NP  129, BN 188, Western Sugar (BN 188). JOBX 129, NIWX 129, RSSX 129",SW1200,20322
RSSX 159,,SW9,
RSSX 168,"ex-GN 5317/117, ex-BN 14",NW2R,944
RSSX 169,,SW1200,
RSSX 201,ex Milw 608,SW1200,20049
RSSX 201,Ex-IC,SW14,11648
RSSX 202,,SW1200,
RSSX 203,,SW900,19647
RSSX 233,"10/1955, 4302-5, xCBQ 9275",SW1200,20547
RSSX 302,ex SP 3419:2; ex SP 3461; nee SP 5628	Built 2/1956,GP9,21321
RSSX 320,,LEAF,
RSSX 326,Tate & Lyle (Staley) Switcher,SW1200,
RSSX 353,"ordered as SSW 1077, delivered as SP 2292",SW1200,31573
RSSX 354,,SW9,
RSSX 356,Ex-SLSF GK10B,LEAF,10186
RSSX 402,"Ex-DTS 120, GTW 6120",SW9,16208
RSSX 414,Rebuilt from IAIS GP10 414,GG20B,18811
RSSX 430,"ex ICG 8030, ex IC 9030:2",GP10,18827
RSSX 436,ex-IC,GP10,18833
RSSX 473,"ex-ICG 8073, ex-IAIS 473",GP10,20152
RSSX 501,"ex-MP. Sold to FCRD, to WTRY",SW1200,28767
RSSX 502,,SW1200,28757
RSSX 506,Ex-SLSF 598,GP7,14244
RSSX 545,blt 5/76 as C&NW 4400,GP15-1,757142-1
RSSX 574,"Ex UPY, ex UP, ex MP, nee CEI.",GP15T,757138-20
RSSX 575,,LEAF,21492
RSSX 575,Ex. C&O,GP9,21492
RSSX 576,blt 10/56 as B&O 3421,GP9,22420
RSSX 576,Ex-B&O GP9 3421,LEAF,22420
RSSX 577,,LEAF,22423
RSSX 577,Model: Railserve LEAF,UNKNOWN,22423
RSSX 577,,GP9,22423
RSSX 579,,GP9,19767
RSSX 610,,LEAF,
RSSX 614,,LEAF,
RSSX 616,Ex. IC,SW1,14388
RSSX 670,,GP15-1,
RSSX 672,,GP15-1,817017-8
RSSX 680,,GP15-1,
RSSX 694,,GP15-1,
RSSX 697,,GP15-1,817017-33
RSSX 698,,GP15-1,
RSSX 701,,GP15-1,817017-37
RSSX 702,nee MP 1266 1/65,SW1200,29781
RSSX 713,,GP10,
RSSX 722,ex-IC 8906/7722,GP8,17721
RSSX 754,ex-ACL 166,GP7,13911
RSSX 769,,NW2,
RSSX 802,ex-T&P 1293,SW1200,31241
RSSX 803,ex MP 1180,SW1200,28756
RSSX 900,"ex RSSX 903, ex MP 1154",SW1200,29792
RSSX 902,,SW1200,
RSSX 904,ex-MP 1150,SW1200,31224
RSSX 905,ex-MP 1265,SW1200,29780
RSSX 929,ex-SAL 1749. Sold to LTEX,GP7,11345
