Unit Number,Notes,Model,Serial Number
RTEX,gp9r,GP9,
RTEX ?,,50Tonner,
RTEX ??,,45Tonner,
RTEX 1,ex-PHDX 1,GP38-2,73640-1
RTEX 1,,UNKNOWN,
RTEX 15,"Ex-NKP 15, NW 2015; GE Cab",NW2,4989
RTEX 95,"Ex-VTR 501, L&C 95",SW1500,31990
RTEX 96,"ex-LC 96, ex-CLP 502, nee-TPW 304)",SW1500,33521
RTEX 97,"Ex-PRR 7913, L&C 97",SW1200,24145
RTEX 98,"Ex-PRR 7927, L&C 98",SW1200,24159
RTEX 202,Ex DMIR 202,SD38AC,37070
RTEX 227,,SW8,30742
RTEX 227,,SW900,30742
RTEX 228,,SW1000,
RTEX 229,"Sold to STE, to OMLX",MP15DC,756158-1
RTEX 404,,U18B,40724
RTEX 407,,U18B,40727
RTEX 1201,Model: Rebuilt EMD SW9R,SW1200,A490
RTEX 1230,,SW1200,
RTEX 1240,Model: SW1200RS,SW1200,A1740
RTEX 1270,"Model: SW1200RS. Sold to SM, to SPOR",SW1200,A1896
RTEX 1272,ex-CN. Sold to EBSR,SD40,A2391
RTEX 1273,ex-CP 8143,SW1200RS,A1743
RTEX 1274,Ex-PHDX,GP38-2,73640-1
RTEX 1277,,SW1,18109
RTEX 1344,,SW1200RS,A1794
RTEX 1369,,SW1200RS,A1854
RTEX 1402,ex. GA Power,SW1500,37435
RTEX 1480,,SW1500,
RTEX 1586,"Model: Rebuilt EMD GP8. Sold to HRR, to AKDN",GP7,13533
RTEX 2012,"ex-LLPX, ex-CR. Sold to NSHR",GP38,35317
RTEX 2036,"ex-LLPX, ex-CR. Sold to HRT",GP38,33726
RTEX 2389,EX- NS 2389. Sold to SM,MP15DC,787244-6
RTEX 3000,Ex-SAL. Sold to SM,GP16u,17372
RTEX 3002,,GP20,26063
RTEX 4005,Former ANR. Sold to NPR,GP9RM,A1652
RTEX 4006,Model: Rebuilt EMD GP9rm,GP9,A1332
RTEX 4613,,GP9R,22834
RTEX 4994,Ex CN,GP38,31064
RTEX 4995,"Ex CN. Sold to LC, to MSE",GP38,31065
RTEX 4996,Ex CN,GP38,31067
RTEX 6092,,UNKNOWN,A2161
RTEX 7053,ex-CN 4536/7073,GP9R,A1011
RTEX 8138,ex-CP 8138,SW1200RS,A1738
RTEX 8153,,SW1200RS,A1899
RTEX 8161,Model: SW1200RS,SW8,A1907
RTEX 8283,ex SP,SD40T-2,786265-54
RTEX 8302,"Ex-UP 137B, ICG 8302, IC 8302,",GP10,19213
