Unit Number,Notes,Model,Serial Number
SDRX 101,Bombardier Cab Car/ Coach,UNKNOWN,
SDRX 108,Bombardier Cab Car/ Coach,UNKNOWN,
SDRX 109,,UNKNOWN,
SDRX 111,,UNKNOWN,
SDRX LLR124,,LRV,
SDRX LLR127,,LRV,
SDRX 302,Bombardier Cab Car/ Coach,UNKNOWN,
SDRX 302,,LRV,
SDRX 303,,LRV,
SDRX 304,,UNKNOWN,
SDRX 305,,UNKNOWN,
SDRX 307,,UNKNOWN,
SDRX 322,,UNKNOWN,
SDRX 323,CEM Cabcar,UNKNOWN,
SDRX 324,,UNKNOWN,
SDRX 326,CEM Cab car,UNKNOWN,
SDRX 327,CEM Cab car,UNKNOWN,
SDRX 328,,UNKNOWN,
SDRX 329,CEM Cab car,UNKNOWN,
SDRX 901,,F59PHI,986906-1
SDRX 902,,F59PHI,986906-2
SDRX 903,,F59PHI,986906-3
SDRX 904,,F59PHI,986906-4
SDRX 905,,F59PHI,986906-5
SDRX 906,,F59PHI,986906-6
SDRX 907,,F59PHI,20005200-1
SDRX 908,,F59PHI,20006200-2
SDRX 909,,F59PHI,20006200-3
SDRX 910,,F59PHI,20006200-4
SDRX 911,,F59PHI,20006200-5
SDRX 921,,MP40PH-3C,0412-01
SDRX 922,,MP40PH-3C,0412-02
SDRX 923,,MP40PH-3C,
SDRX 1003,Trolly,LRV,
