Unit Number,Notes,Model,Serial Number
SRS 115,Sperry Rail Service #115; Brill Model 55,Doodlebug,22880
SRS 118,"ex-B&O 6004, to SRS 10/33",Doodlebug,1368C-172
SRS 119,"""Bob Owen"", ex-B&O 6003, to SRS 10/33",Doodlebug,1368C-171
SRS 120,Sperry Rail Service #120; St. Louis Car Company.,Doodlebug,
SRS 123,"Blt 11/26 nee B&O 6066, reblt to LV 14, to SRS 2/36",Doodlebug,1386A-369
SRS 124,"Blt 6/27 nee LV 20, 59' StLC, to SRS 11/37",Doodlebug,1452-241
SRS 125,"blt 11/25 nee LV 26, 60' StLC",Doodlebug,1376-135
SRS 126,"ex-EMC demo 108, ex-C&NW 9900, to SRS 3/37",Doodlebug,1352-141
SRS 127,"ex-B&M 1151/151, to SRS 8/39",Doodlebug,1368D-128
SRS 128,"Blt 09/25 as BO 6007, rejected, sold to LV 15, 59' StLC",Doodlebug,1386B-363
SRS 129,"EMC-St Louis, to SRS  4/38",Doodlebug,1376A-133
SRS 130,"blt 11/25, nee LV 28, 60' StLC",Doodlebug,1376-136
SRS 131,"blt 11/25 nee LV 27, 60' StLC",Doodlebug,1376-134
SRS 132,"Built 1925 as SAL #2003, to SRS 132 in 1943",Doodlebug,1365-138
SRS 134,"blt by St. Louis-EMC, ex-SAL 2022, to SRS 4/45",Doodlebug,1459-261
SRS 135,"ex-SAL 2023, to SRS 7/45",Doodlebug,1459-262
SRS 136,"ex-NYC M-11, to SRS 4/19/48",Doodlebug,22547
SRS 137,"ex-SOO M-1, to X1450 welding car 10/42",Doodlebug,1360C-117
SRS 138,"ex-RI 9057, to SRS 138 9/20/71",Doodlebug,1475-333
SRS 139,ex-CNW,Doodlebug,1394
SRS 140,ex-NYCTA R-33 subway car shell,Doodlebug,R-33
SRS 141,"ex-RI 9050:2, named Elmer Jackson",Doodlebug,1475-326
SRS 142,ex-C&NW 300882,MoW Equipment,
SRS 143,"SRS-Brooklyn blt. 10/1974, 5 star body",Doodlebug,
SRS 144,Sperry Rail Service; built new to SRS specifications in 1975.,MoW Equipment,
SRS 145,Built by SRS Danbury in 1975,MoW Equipment,
SRS 146,,MoW Equipment,
SRS 146,"Sperry Test Car, SRS-Brooklyn, 12/75, Hillebrand body",Doodlebug,
SRS 146,"Sperry Test Car, SRS-Brooklyn, 12/75, Hillebrand body",MoW Equipment,
SRS 147,Sperry self-propelled rail det,MoW Equipment,
SRS 148,"""Jack Finney"" Blt: 1985, SRS-Danbury",MoW Equipment,
SRS 149,Blt. 1986,MoW Equipment,
SRS 193,,UNKNOWN,
SRS 402,Sperry Rail Service #402.,UNKNOWN,
SRS 403,"ex-NH 18, Mack-GE Railbus , to SRS 9/58",Doodlebug,1009
SRS 565,,MoW Equipment,
SRS 613,,MoW Equipment,
SRS 751,,MoW Equipment,
SRS 756,,MoW Equipment,
SRS 765,,MoW Equipment,
SRS 766,,MoW Equipment,
SRS 774,,MoW Equipment,
SRS 805,,MoW Equipment,
SRS 806,,MoW Equipment,
SRS 807,,MoW Equipment,
SRS 811,,MoW Equipment,
SRS 812,Ford Truck HiRail,UNKNOWN,
SRS 813,,MoW Equipment,
SRS 820,Ford Truck HiRail,UNKNOWN,
SRS 824,,MoW Equipment,
SRS 825,Ford High Rail Vehicle,UNKNOWN,
SRS 826,,MoW Equipment,
SRS 832,Sperry Rail Services Hy-Rail,MoW Equipment,
SRS 857,,MoW Equipment,
SRS 861,,MoW Equipment,
SRS 869,Sperry truck,MoW Equipment,
SRS 875,,MoW Equipment,
SRS 877,,MoW Equipment,
SRS 903,Hi-Rail vehicle,UNKNOWN,
SRS 905,,MoW Equipment,
SRS 906,,MoW Equipment,
SRS 909,,MoW Equipment,
SRS 910,,UNKNOWN,
SRS 918,,MoW Equipment,
SRS 919,,MoW Equipment,
SRS 938,,MoW Equipment,
SRS 939,,MoW Equipment,
SRS 953,,MoW Equipment,
SRS 954,,MoW Equipment,
SRS 955,,MoW Equipment,
SRS 957,,MoW Equipment,
SRS 958,,MoW Equipment,
SRS 960,,MoW Equipment,
SRS 961,,MoW Equipment,
SRS 962,Ford High-Rail Vehicle,UNKNOWN,
SRS 976,,MoW Equipment,
SRS 977,,MoW Equipment,
SRS 978,Ford High-Rail Vehicle,UNKNOWN,
SRS 980,,MoW Equipment,
SRS 989,,MoW Equipment,
