Unit Number,Notes,Model,Serial Number
TANX 247,ex-AMTK,F40PHR,777001-18
TANX 315,Ex-AMTK,F40PH,777107-12
TANX 319,,F40PH,777107-16
TANX 339,,F40PH,796379-8
TANX 345,,F40PH,796379-14
TANX 372,Sold to LTEX,F40PH,807050-12
TANX 376,,F40PH,807050-16
TANX 391,ex-AMTK,F40PHR,847048-1
TANX 652,ex-DMIR,SD9,23932
TANX 1212,,SW1200,19662
TANX 1212,,UNKNOWN,19662
TANX 1214,,SW1200,
TANX 1215,,SW1200,23762
TANX 1253,ATSF 2421/1421/1221 Sw9 > AMTK 554:2 > MVPX 1253 > TANX 1253,SW1200,18087
TANX 1511,Blt 1'73 BN 316 to BN 3462 to TANX 1511,SW1500,71605-7
TANX 1711,ex-MKT,GP7R,11118
TANX 1714,ex-NP,GP8,21431
TANX 1714,2/56,GP9,21431
TANX 1751,ex-ATSF,GP7u,17459
TANX 1811,ex LSLX 1712,UNKNOWN,23134
