Unit Number,Notes,Model,Serial Number
TCCX 802,"Wrong reporting marks, should be TRCX",F40PHL-2,
TCCX 805,"Wrong reporting marks, should be TRCX",F40PHL-2,
TCCX 807,"Wrong reporting marks, should be TRCX",F40PH-2C,
TCCX 808,"Wrong reporting marks, should be TRCX",F40PH-2C,
TCCX 809,"Wrong reporting marks, should be TCRX",F40PH-2C,
TCCX 810,"Wrong reporting marks, should be TRCX",F40PH-2C,
TCCX 811,"Wrong reporting marks, should be TRCX",F40PH-2C,
TCCX 813,"Wrong reporting marks, should be TRCX",GP49,
TCCX 815,"Wrong reporting marks, should be TRCX",GP49,
TCCX 817,"Wrong reporting marks, should be TRCX",GP49,
