Unit Number,Notes,Model,Serial Number
USAX UNKNOWN,unknown model 400cc 250 hp from KGE,20-ton,
USAX 1,,25 Tonner,
USAX 1,"ex-SP 5800, 3663",GP9,25100
USAX 20,20GM34,20 Tonner,13200
USAX 101,ex-USATC 765,2-8-0,
USAX 106,"44DE22, blt 1941 as St Louis Ordinance 2",44 Tonner,60120
USAX 226,Orton Crane & Shovel Co. 1953,MoW Equipment,1715
USAX 298,ex-North Island Naval Air Station 27,80Tonner,27861
USAX 606,ex-USATC 5846,2-8-0,8784
USAX 607,Built by Lima Locomotive Works,2-8-0,8846
USAX 610,Lima-Baldwin-Hamilton was buil,2-8-0,75503
USAX 611,ex-USATC,2-8-0,69856
USAX 612,ex-USATC,2-8-0,69858
USAX 616,"10/1942, sold to VBR 8/1958",0-6-0,70402
USAX 662,"NMOT, Kirkwood, MO",UNKNOWN,
USAX 1032,,10 Ton DHD,5741
USAX 1045,,12-ton,
USAX 1054,,12-ton,
USAX 1055,,12-ton,
USAX 1056,Sold to CMPA,12-ton,
USAX 1059,Sold to CMPA,12-ton,
USAX 1080,"Brooks 12/1917 as Russia E1190, to USA 1080, to Erie 2473, scrapped 04/43",2-10-0,58894
USAX 1149,30 ton Gas Turbine,35 Tonner,3437
USAX 1202,,45Tonner,
USAX 1216,Davenport,SV-1,
USAX 1216,DE44,44 Tonner,3364
USAX 1217,,44 Tonner,3365
USAX 1218,,44 Tonner,3366
USAX 1222,US Army 44-Tonner.,44 Tonner,3372
USAX 1223,,44 Tonner,3381
USAX 1229,DE44. Sold to CMPA,44 Tonner,3377
USAX 1230,,44 Tonner,3378
USAX 1231,"Built 1953, two V-8 caterpillar diesels. Sold to FWHS",44 Tonner,3379
USAX 1248,,RS-4-TC,61203
USAX 1250,,RS-4-TC,61205
USAX 1251,Sold to RVPR,RS-4-TC,61206
USAX 1253,built 1953,RS-4-TC,61208
USAX 1260,,RS-4-TC,61215
USAX 1264,"Sold to PP, to BJRY",RS-4-TC,61219
USAX 1268,,RS-4-TC,61223
USAX 1271,,RS-4-TC,61226
