Unit Number,Notes,Model,Serial Number
USN 1,,45Tonner,15151
USN 1,1916 GMW 0-4-0 2 ft gauge,UNKNOWN,581
USN 2,1916 GMW 0-4-0 2 ft gauge,UNKNOWN,582
USN 3,"0-4-0T Built by Cooke in 1918 as #8, transferred to Philadelphia re# 3",0-4-0T,59957
USN 4,,0-6-0T,6369
USN 5,ex-USAX 2100 > USN 65-00586 > USN 5,MRS-1,80333
USN 5,made 10/1943 per SCRM,45 Tonner,
USN 7,USN 7 blt 1918,0-4-0T,6361
USN 7,blt 4/1917 as USN 7;,0-4-0T,2644
USN 8,American locomotive crane,MoW Equipment,
USN 8,Rebuilt speeder,MoW Equipment,
USN 11,GE 65 TON NAVY,65Tonner,15237
USN 13,,65Tonner,
USN 13,,65Tonner,
USN 350,March 1953,80Tonner,31827
USN 1225,"65-00632, ex USAX",44 Tonner,3373
USN 1818,USN 65-00574,MRS1,15883
USN 2098,ex-USAX 2098,MRS-1,80331
USN 65-DO627,Port Hueneme,SW1200,
USN 65-0144,50Ton D/E,40-ton WDT,4416
USN 700440,"1942, located at St. Louis Museum Of Transportation",25 Tonner,
USN 65-00035,Ex USNAD/Fallbrook 1,NW2,1922
USN 65-00040,"3/43, to Citrus Industry Supply 02/80",S2,69996
USN 65-00053,,65Tonner,17879
USN 65-00066,,45Tonner,15259
USN 65-00131,"ex-NAD 8 >10, reblt, to LTEX",VO-1000M,71968
USN 65-00132,,VO-1000M,71969
USN 65-00144,Plymouth 50 Tonner,40-ton WDT,4416
USN 65-00174,Now Hawaiian Railway 174,65 Tonner,60642
USN 65-00252,,50-DE-58a-1,60326
USN 65-00296,Ex-US Navy,80Tonner,31037
USN 65-00298,,80Tonner,27861
USN 65-00302,Now Oahu Railway 302.  At the Hawaiian Railway Society.,45 Tonner,60403
USN 65-00307,,80Tonner,31327
USN 65-00308,"Navel Ammo Depot, Shunaker, AR",80Tonner,31328
USN 65-00309,,80Tonner,31179
USN 65-00310,ex-USAX,80Tonner,31180
USN 65-00316,,45 Tonner,
USN 65-00328,Portsmouth Naval Shipyard,50 Tonner,7349
USN 65-00341,,80Tonner,27569
USN 65-00344,,44Tonner,31871
USN 65-00349,,80Tonner,
USN 65-00355,"3/97 At Camp Pendleton, CA.  Former USMC 289688",80Tonner,31829
USN 65-00356,,80Tonner,31830
USN 65-00359,Built 4/1953,80Tonner,31833
USN 6500359,,80Tonner,
USN 65-00363,Naval Ammunition Depot 15,80Tonner,31837
USN 65-00364,,80Tonner,
USN 65-00367,Earle NWS blt 11/52,S12,75707
USN 65-00369,,S12,75709
USN 65-00372,,S12,75712
USN 65-00385,,80Tonner,
USN 65-00386,"NSC Mechanicsburg, PA",80Tonner,31852
USN 65-00391,,S12,75796
USN 65-00392,Atlas 50-Ton built May 1941.,UNKNOWN,2255
USN 65-00404,,45 Tonner,
USN 65-00411,,80Tonner,31857
USN 65-00423,Now Hawaiian Railway 423,45 Tonner,
USN 65-00469,,UNKNOWN,
USN 65-00490,,25 Tonner,15857
USN 65-00495,US Navy 2' gauge mine locomotive. Preserved at Hawaiian Railway Society,Unknown,
USN 65-00498,Goose Creek NWS to Denton,65Tonner,17741
USN 65-00499,,44Tonner,
USN 65-00502,SCRM,45Tonner,
USN 65-00503,dropcab 45 tonner,45Tonner,27593
USN 65-00504,3/42,44Tonner,15119
USN 65-00519,,45Tonner,
USN 65-00524,,80Tonner,30990
USN 65-00528,Charleston Naval Station,45Tonner,
USN 65-00531,ex-US Army 7140,VO-1000,67727
USN 65-00541,ex-USAX 2119,MRS-1,80352
USN 65-00545,ex-US Army 2123,MRS-1,80356
USN 65-00546,ex-USAX 2091,MRS-1,80324
USN 65-00552,ex-USAX 7041,45Tonner,12967
USN 65-00554,ex-USAX 2103,MRS-1,80336
USN 65-00556,Ex-USAX,44 Tonner,3372
USN 65-00566,,44Tonner,
USN 65-00568,,35Tonner,
USN 65-00571,"12/77 In Portland, OR eroute from Hawthorne, NV to the Alaska Railroad",MRS1,15880
USN 65-00572,"12/77 In Portland, OR eroute from Hawthorne, NV to the Alaska Railroad",MRS1,15881
USN 65-00573,"12/77 In Portland, OR eroute from Hawthorne, NV to the Alaska Railroad",MRS1,15882
USN 65-00576,NAS Whiting Field,65Tonner,15664
USN 65-00580,ex-USAX 7516,44Tonner,15759
USN 65-00586,"ex-USAX 2100, to ARR for parts",MRS-1,31655
USN 65-00595,ex-USAX V-1402 Lone Star Ord. Plant 1,65Tonner,15164
USN 65-00599,ex-USAX 7347 MS Ordnance Works 2,65Tonner,15237
USN 65-00600,ex-USAX 7348,65Tonner,15163
USN 65-00605,,65Tonner,
USN 65-00606,Puget Sound Naval Shipyard #6,65Tonner,13036
USN 65-00606,,65Tonner,13036
USN 65-00607,Charleston Naval Station,65Tonner,
USN 65-00608,"blt 10-44, ex USMC 250894, ex USAX/USAF 7508",44Tonner,15118
USN 65-00612,ex-USAX B2066,MRS-1,80382
USN 65-00614,ex-USAX B2048,MRS-1,80364
USN 65-00622,"ex-USN 3, reblt from 65-00027 in 10/85",VO-1000M,69559
USN 65-00626,,UNKNOWN,
USN 65-00626,,S3,
USN 65-00627,blt 1/54 as MILW 1638,SW1200,18759
USN 65-00630,Earle NWS,SW1200,20064
USN 65-00631,Earle NWS,SW1200,20075
USN 65-00636,Earle NWS,SW900,26020
USN 65-00647,Actually 3GS18B-R (No option in menu),3GS21B,5516-61
USN 65-00648,Actually 3GS18B-R (No option in menu),3GS21B,
USN 65-00650,"ex-Marathon Oil GP16 99, ex-CSXT 1728, ex-SBD 4628, ex-SCL 4628, ex-SCL GP9",2GS14B,22648
USN 65-00652,"Integral dx/Ritalka SWM9, first of its kind",UNKNOWN,1
USN 84-00503,locomotive crane built in 1943 by American Hoist & Derrick,MoW Equipment,
