Unit Number,Notes,Model,Serial Number
USSC 65,"Built 1907, ex-FEC 65 to US Sugar in 04/31",4-6-2,44605
USSC 100,,Yard Slug,74797
USSC 148,"ex FEC 148, to US Sugar in 06/1952",4-6-2,61769
USSC 154,SW900,SW7,20553
USSC 155,SW900,SW7,20554
USSC 156,SW900,SW7,22140
USSC 158,Ex-URR 460,SW1,7507
USSC 159,SW900,SW900,25342
USSC 201,ex-SP,SW1500,4608-59
USSC 202,,SW1500,4608-87
USSC 202,,SW900,22140
USSC 203,,SW900,25342
USSC 204,,MP15AC,776128-3
USSC 302,blt 1/56 as IC GP9 9136,GP11,20774
USSC 303,blt 12/58 as IC GP9 9380,GP11,25032
USSC 304,Ex UPY 1429 MP15AC  to USSC 204?,MP15AC,776128-3
USSC 304,,GP11,22283
USSC 305,,GP11,23658
USSC 306,,GP11,18812
USSC 307,,GP11,23811
USSC 308,,GP11,22329
USSC 310,"Sold to RXCX, to BSFS",GP11,23830
USSC 311,blt 1/57 as IC 9214. Sold to FCEN,GP11,22337
USSC 312,blt 12/57 as IC 9331,GP11,23831
USSC 342,,GP38-2,
USSC 404,blt 3/71 as GM&O 727,GP38AC,36085
USSC 405,Nee GP40-2 ex HLCX6422,GP38-2,786215-1
USSC 406,nee GP40-2 ex HLCX6423. Wrecked and Scrapped,GP38-2,786215-2
USSC 407,blt 2/70 as IC 9517,GP38AC,35682
USSC 408,,GP38-2,74631-2
USSC 409,Ex-SOU,GP38-2,36044
USSC 410,Invalid Entry,Unknown,Invalid Entry
USSC 410,Ex-SOU,GP38-2,796321-13
USSC 501,blt 3/66 as MILW 184,GP40,31614
USSC 502,blt 10/66 as MILW 193,GP40-2,32301
USSC 503,blt 12/77 as B&M 315,GP40-2,776025-16
USSC 504,,GP40-2,776025-3
USSC 505,blt 1/67 as SAL 642,GP40-2,32621
USSC 506,,GP40-2,34340
USSC 754,Ex ACL/SCL,GP7,13911
USSC 756,Ex ACL/SCL,GP7,13913
USSC 888,ex SP,GP9,25650
USSC 901,Ex SCL/SAL,GP7,11597
USSC 929,,GP7,11345
USSC 968,Ex DT&I,GP7,19018
USSC 986,Ex SCL/SAL,GP7,17378
USSC 989,,GP7,14989
USSC 1201,SW1200,SW1200,19661
USSC 6323,Ex-UP,SD40-2,796345-8
USSC 6324,Ex-SSW,SD40-2,7348-2
USSC 8752,ex-IC,GP11,22283
