Unit Number,Notes,Model,Serial Number
USSX,,UNKNOWN,
USSX ET-0,,SW1500,
USSX 1,,Yard Slug,
USSX 1,"Ex-ATSF 1238, BLT 11/1953",SSB1200,18963
USSX 1,Blt. 7/1951,S12,75281
USSX ET-1,ex-PLE 1558,SW1500,38467
USSX LM1,ex-SSW 1057/2203,SW7,11386
USSX 2,"Duluth Works, ex-ASWX 23-1,",VO-660,64387
USSX ET-2,Ex-PLE 9280/1573,SW1500,36834
USSX LM2,,NW2,
USSX ET-3,Ex-PLE,SW1500,36842
USSX ET-4,,SW1200,23770
USSX 5,ex-Tenn. Coal Iron 504,S2,70268
USSX ET-5,,SW1200,23771
USSX ET-6,ex-PLE,SW1500,38470
USSX 7,On Display,0-4-0T,5737
USSX 7,,35Tonner,
USSX ET-7,,SW1500,38464
USSX ET-8S,,Yard Slug,
USSX 9,,SW7,10398
USSX 9,Blt. 11/1951,H-12-44,12L571
USSX 12,BLT 1950,80Tonner,
USSX 13,"Blt 11/1957, PRR 7920,PC 9020,CR 9339, USS Great Lakes Works 69",SW1200,24152
USSX 14,Ex-ATSF 1234,SSB1200,18959
USSX 15,,Unknown,
USSX 15,"Ex-ATSF 1236, BLT 11/1953",SSB1200,18961
USSX 16,"ex USSX Bicentennial 76, ex Rayonier 203, ex MCR 30",S12,75912
USSX 17,,S12,76091
USSX 18,Ex-EJ&E 458,NW2,
USSX 18,Blt. 2/1952,S12,75543
USSX 19,,NW2,
USSX 20,ex-Oliver Iron Mining 933,S12,75053
USSX 23,,NW2,
USSX 23,"Blt. 11/1952, ex-PC,PRR",H-12-44,12L647
USSX 23,"Columbia Geneva Steel, EMD repowered",DS44-1000,72853
USSX 24,"Ex PRR 8714, ex-PC 8330, scrapped",H-12-44,12L640
USSX 24,"US Steel 24  S-2u  (ALCo 70064, 11/43, ex-Lone Star Steel 24, nee-ATSF S-2",Yard Slug,70064
USSX 24,Geneva Works #24,DS44-1000,72854
USSX 25,ex-Columbia Geneva Steel 25,DS44-1000,72855
USSX 26,"Blt. 8/1952, ex-PC, NYC. Sold to SLRS",H-12-44,12L613
USSX 26,,SW1200,23784
USSX 27,"Ex Army 1845, To Loco Trouble Shooting 1845",H-12-44,12L669
USSX 30,Geneva Works #30,DS44-1000,73609
USSX 30,"Ex-UP 1058, BLT. 3/1947",NW2,4704
USSX 33,ex-CGS,S12,76138
USSX 35,,SW1001,
USSX 36,ex-American Steel & Wire 5,SW900,24731
USSX 38,Ex-GLSX,SW1,18783
USSX 38,Geneva Works,DS44-1000,73958
USSX 38,,NW2,
USSX 40,,SW8,
USSX 43,,SW9,17870
USSX 44,,Yard Slug,
USSX 46,,SW9,26213
USSX 47,,SW9,
USSX 48,,SW9,
USSX 48,,SW8,
USSX 48,Ex Great Lakes Steel,SW1200,27312
USSX 50,,SW9,
USSX 52,,SW9,30738
USSX 53,,SW900,25446
USSX 53,,SW9,30739
USSX 54,Ex RI 779,SW9,18964
USSX 55,nee TP 1297,SW900,23987
USSX 55,nee TP 1297,SW900,23987
USSX 56,"US Steel 56  S-4u  (ALCo 80059, 7/52, ex-Lone Star Steel 56, ex-T&N 56, nee",Yard Slug,80059
USSX 59,Ex CN,SW1200RS,A1022
USSX 61,ex-CN,SW1200RS,A1364
USSX 62,,70Tonner,
USSX 63,,SW1200,
USSX 64,,SW1,
USSX 68,,SW1001,
