Unit Number,Notes,Model,Serial Number
VULX,Ex-UP 1823/1250,SW10,10775
VULX,ML8 30Ton,ML,
VULX,,60Tonner,
VULX X,11/41,44Tonner,13169
VULX XX,30 tonner,25 Tonner,
VULX XXX,"1/48, nee People's Gas & Coke",65 Tonner,8179
VULX 1,Engine Number not known,65 Tonner,
VULX 14,ex-USN,65Tonner,18008
VULX 322,,SW1200,19541
VULX 347,,SW1200,3423
VULX 378,,NW2,1300
VULX 1040,ex-SOU 2249/1040,NW2,4749
VULX 1202,,45Tonner,
VULX 2430,"The only Euclid ever built.  Now in Calera, Ala.",35 Tonner,135
VULX 2519,65 Tonner,50 Tonner,
VULX 2779,"ex-Tarmac/CR 2779, nee-LV 503",U23B,40100
VULX 3508,Ex-CB&Q,SW1200,30533
VULX 4731,"HH900 ex-Warrior River Term. 50, Blt. 1939 as Inland Waterways 50",HH1000,69090
VULX 8409,,GP10,18809
VULX 9318,Ex-RDG,SW1200,28415
VULX 9322,Ex-DLW,SW1200,23764
VULX 12003,ex-B&O 626/9401,SW900,20385
VULX 12511,"ex SP 1317, ex SP 1938, ex SP 1410",NW2,7301
VULX 12512,,SW1200,
VULX 13250,ex-KCS (L&A) 1217/4217,NW2,5562
VULX 15975,Remote Control Enabled,60Tonner,
VULX 17836,2028,SD20,25399
