Unit Number,Notes,Model,Serial Number
WFRX 555,,GP15-1,757138-1
WFRX 556,,GP15-1,757138-2
WFRX 559,,GP15-1,757138-5
WFRX 560,,GP15-1,757138-6
WFRX 561,,GP15-1,757138-7
WFRX 567,,GP15-1,757138-13
WFRX 5581,"Ex-BNSF 2002, Nee CSX 9731",GP38-2,32614
WFRX 5583,blt 10/69 as D&RGW 3084,GP38-2,35580
WFRX 5585,,GP38-2,34292
WFRX 5586,"ex BNSF 2022, leased to RVSC 3-2021",GP38-2,35251
WFRX 5590,Formerly BNSF 2038,GP38-2,A2040
WFRX 8146,ex-BN,SD40-2,786256-57
WFRX 8858,,SD70MAC,968754-16
WFRX 8859,Ex-BNSF,SD70MAC,968754-17
WFRX 8861,ex BNSF8861,SD70MAC,968754-19
WFRX 8862,,SD70MAC,968754-20
WFRX 8863,,SD70MAC,968754-21
WFRX 8865,,SD70MAC,968754-23
WFRX 8866,,SD70MAC,968754-24
WFRX 8867,,SD70MAC,968754-25
WFRX 8868,Currently leased to NS,SD70MAC,968754-26
WFRX 8870,ex-BNSF 8870,SD70MAC,968754-28
WFRX 8871,Ex-BNSF 8871,SD70MAC,968754-29
WFRX 8877,Former BNSF,SD70MAC,986921-1
WFRX 8895,"Ex BNSF, to ARR.",SD70MAC,976841-61
WFRX 8898,Former BNSF 8898,SD70MAC,976841-64
WFRX 8899,Ex-BNSF,SD70MAC,976841-65
WFRX 8901,Sold to ARR,SD70MAC,976841-67
WFRX 8909,Ex-BNSF,SD70MAC,976814-137
WFRX 8910,,SD70MAC,976814-138
WFRX 8912,,SD70MAC,976814-140
WFRX 8914,,SD70MAC,976814-142
WFRX 8915,Former BNSF 8915,SD70MAC,976814-143
WFRX 8956,,SD70MAC,976814-184
WFRX 8959,,SD70MAC,976814-187
WFRX 8960,Former BNSF,SD70MAC,976814-188
WFRX 8961,Former BNSF,SD70MAC,976814-189
WFRX 8962,,SD70MAC,976814-190
WFRX 8963,Ex-BNSF,SD70MAC,976814-191
WFRX 8964,,SD70MAC,976814-192
WFRX 8965,Former BNSF,SD70MAC,976814-193
WFRX 8966,Ex-BNSF,SD70MAC,976814-194
