Unit Number,Notes,Model,Serial Number
WPSC 28,,SW8,14063
WPSC 1250,,SW1200,20364
WPSC 1253,ex-Wheeling Steel 1253,SW9,19305
WPSC 1255,ex-WSTX,SW1200,20365
WPSC 1259,ex-WSTX,SW1200,20369
WPSC 1262,ex-MP. Sold to RJC,SW1200,27867
WPSC 1263,ex-MP,SW1200,27862
WPSC 1264,ex-MP,SW1200,28762
WPSC 1265,Sold to RJC,SW1200,31110
WPSC 1266,ex-IC TR 9205A,SW14,1190A
WPSC 1267,ex-IC,SW7RM,10050
WPSC 1268,ex-PRR 7914,SW1200,24146
WPSC 1548,ex-PLE 1548,SW1500,7376-5
WPSC 1551,ex-PLE 1551,SW1500,7376-8
WPSC 1551,,UNKNOWN,INVALID ENTRY
WPSC 1553,ex-PLE 1553,SW1500,7376-10
