Unit Number,Notes,Model,Serial Number
WSX 7,,SW1500,
WSX 7,,SW1001,
WSX 8,,SW1500,
WSX 8,,SW1001,
WSX 97,6/53,45Tonner,31801
WSX 200,,S2,73343
WSX 210,,S4,78836
WSX 224,ex-MTFR,S4,78798
WSX 300,Ex LEF 23,SW1500,37294
WSX 301,Ex LEF 24,SW1500,4626-1
WSX 302,,SW1500,38468
WSX 303,,SW1500,38471
WSX 304,,SW1500,38466
WSX 305,,SW1500,36839
WSX 306,,SW1500,
WSX 307,Sold to LMIC,SW1500,36838
WSX 308,,SW1500,36836
WSX 309,,SW1500,36834
WSX 311,,SW1500,7376-9
WSX 313,,SW1500,7376-2
WSX 314,,SW1500,38472
WSX 316,,SW1500,
WSX 317,Arcelor Paint,SW1500,
WSX 2218,ex-SOU,S2,72869
