Unit Number,Notes,Model,Serial Number
WTCX,,70Tonner,
WTCX 1,at NW Ry Museum,H-12-44,12L437
WTCX 1,ex-American Can 1,SW600,25682
WTCX 4,"9/1934, Weyerhaeuser Timber Co",2-6-6-2,61781
WTCX 6,blt 03/1928 as Mud Bay Logging Co. #8,2-6-6-2,60412
WTCX 101,ex BLW Demo #750,DS44-750,74814
WTCX 101,,DRS4-4-1500,
WTCX 102,ex BLW Demo #751,DS44-750,74815
WTCX 103,,S8,75254
WTCX 105,,S8,75255
WTCX 108,2-6-6-2T,2-6-6-2,59087
WTCX 110,,2-6-6-2,60561
WTCX 120,"1936, Weyerhaeuser Timber Co",2-6-6-2,61904
WTCX 300,,SW7,13571
WTCX 301,,UNKNOWN,
WTCX 302,SW9 ex-WEYX. Sold to CLC,SW1500,14562
WTCX 303,,UNKNOWN,
WTCX 304,,SW1200,20354
WTCX 305,ex-\SW aË2,nW1500,335è”
WTCX 306,,SW1500,33935
WTCX 306B,Ex-CO,Road Slug,11948
WTCX 307,"Sold to LTEX, to ARC",SW1500,71607-1
WTCX 308,"ex SP 6626, ex SP 7729. Sold to TOE, to AKMD",GP35,30136
WTCX 308,ex-SP 2659. Sold to ARC,SW1500,4608-69
WTCX 309,ex-RDG 615. Sold to LTEX,GP7,18415
WTCX 310,"Ex MKCX, nee UP.",U25B,34535
WTCX 310,,SW9,17825
WTCX 311,ex-SP 2557. Sold to CLC,SW1500,35793
WTCX 312,ex-PC/CR 9501. Sold to CLC,SW1500,37059
