0,1,2,3,4
Model (Bldr),Road No.,"Serial No,",Date,Notes
44-Tonner (GE),"301 & 302 15040, -- 11/41 #301 sold, ex-Milw 992 / 1701; #302 scrapped","15040, -- 11/41 #301 sold, ex-Milw 992 / 1701; #302 scrapped",11/41,"#301 sold, ex-Milw 992 / 1701; #302 scrapped"
SW1 (EMD) 501 & 502 1046& 1047 4/40 Ex-Milw 966 & 967 < nee Milw 1620 & 1621,501 & 502 1046& 1047 4/40 Ex-Milw 966 & 967 < nee Milw 1620 & 1621,1046& 1047 4/40 Ex-Milw 966 & 967 < nee Milw 1620 & 1621,4/40 Ex-Milw 966 & 967 < nee Milw 1620 & 1621,Ex-Milw 966 & 967 < nee Milw 1620 & 1621
503 -- -- Ex-Comm. Edison 11:2 < nee Public Svc of N. Indiana 11,-- -- Ex-Comm. Edison 11:2 < nee Public Svc of N. Indiana 11,-- Ex-Comm. Edison 11:2 < nee Public Svc of N. Indiana 11,Ex-Comm. Edison 11:2 < nee Public Svc of N. Indiana 11,
504 & 505 -- -- Ex-BN 81 & 83 < nee Great Northern 82 & 83,-- -- Ex-BN 81 & 83 < nee Great Northern 82 & 83,-- Ex-BN 81 & 83 < nee Great Northern 82 & 83,Ex-BN 81 & 83 < nee Great Northern 82 & 83,
"506 & 507 1238, 1015 11/41, 1/40 Ex-EJ&E 236 & 220","1238, 1015 11/41, 1/40 Ex-EJ&E 236 & 220","11/41, 1/40 Ex-EJ&E 236 & 220",Ex-EJ&E 236 & 220,
"508-510 1104, 1101 & 1601 8/40 & 5/42 Ex-B&O 8406, 8403 & 8416 < nee B&O 206, 203 & B&OCT 216","1104, 1101 & 1601 8/40 & 5/42 Ex-B&O 8406, 8403 & 8416 < nee B&O 206, 203 & B&OCT 216","8/40 & 5/42 Ex-B&O 8406, 8403 & 8416 < nee B&O 206, 203 & B&OCT 216","Ex-B&O 8406, 8403 & 8416 < nee B&O 206, 203 & B&OCT 216",
511 18108 5/53 Ex-North American Car 25 < nee C&NW 1276,18108 5/53 Ex-North American Car 25 < nee C&NW 1276,5/53 Ex-North American Car 25 < nee C&NW 1276,Ex-North American Car 25 < nee C&NW 1276,
"512-514 13549, --, 13576 11/50, --, 3/51 Ex-Inland Steel 77, ?? & 79","13549, --, 13576 11/50, --, 3/51 Ex-Inland Steel 77, ?? & 79","11/50, --, 3/51 Ex-Inland Steel 77, ?? & 79","Ex-Inland Steel 77, ?? & 79",
"516 & 517 3184, 6753 10/45, 7/48 Ex-Great Lakes Steel 18 & 33","3184, 6753 10/45, 7/48 Ex-Great Lakes Steel 18 & 33","10/45, 7/48 Ex-Great Lakes Steel 18 & 33",Ex-Great Lakes Steel 18 & 33,
SW600 (EMD) 551 20616 4/55 Sold to GM Central Foundries < nee Shell 9,551 20616 4/55 Sold to GM Central Foundries < nee Shell 9,20616 4/55 Sold to GM Central Foundries < nee Shell 9,4/55 Sold to GM Central Foundries < nee Shell 9,Sold to GM Central Foundries < nee Shell 9
"HH600 (Alco) 601, 605 & 607 69256, 69077, 69255 4/40, 3/39, 4/40 Ex-Milw 981, 983 & 980 < nee Milw 1601, 1603 & 1600","601, 605 & 607 69256, 69077, 69255 4/40, 3/39, 4/40 Ex-Milw 981, 983 & 980 < nee Milw 1601, 1603 & 1600","69256, 69077, 69255 4/40, 3/39, 4/40 Ex-Milw 981, 983 & 980 < nee Milw 1601, 1603 & 1600","4/40, 3/39, 4/40 Ex-Milw 981, 983 & 980 < nee Milw 1601, 1603 & 1600","Ex-Milw 981, 983 & 980 < nee Milw 1601, 1603 & 1600"
"602 & 604 69233, 69234 2,3/40 Ex-EJ&E 210 & 211","69233, 69234 2,3/40 Ex-EJ&E 210 & 211","2,3/40 Ex-EJ&E 210 & 211",Ex-EJ&E 210 & 211,
"603 & 606 69257, 69239 4 & 3/40 Ex-DL&W 409 & Buffalo Creek 43","69257, 69239 4 & 3/40 Ex-DL&W 409 & Buffalo Creek 43",4 & 3/40 Ex-DL&W 409 & Buffalo Creek 43,Ex-DL&W 409 & Buffalo Creek 43,
S1 / S3 (Alco),"701 & 702 69485, 69499 5, 7/41,  Ex-Minesota Transfer 61 & 62","69485, 69499 5, 7/41,  Ex-Minesota Transfer 61 & 62","5, 7/41,  Ex-Minesota Transfer 61 & 62",Ex-Minesota Transfer 61 & 62
"703-705 69593, 69827, 69828 10/41, 8/42 Ex-C&EI 103-105","69593, 69827, 69828 10/41, 8/42 Ex-C&EI 103-105","10/41, 8/42 Ex-C&EI 103-105",Ex-C&EI 103-105,
706 69500 8/41 Ex-TP 6603 < nee TP-MPT 4 <,69500 8/41 Ex-TP 6603 < nee TP-MPT 4 <,8/41 Ex-TP 6603 < nee TP-MPT 4 <,Ex-TP 6603 < nee TP-MPT 4 <,
"707(1st) & 710 78401, 79772 11/50, 5/52 S3; ex-Ann Arbor 5 and B&M 1183","78401, 79772 11/50, 5/52 S3; ex-Ann Arbor 5 and B&M 1183","11/50, 5/52 S3; ex-Ann Arbor 5 and B&M 1183",S3; ex-Ann Arbor 5 and B&M 1183,
"707(2nd) & 708 69390 ,69384 12/40 Ex-South Buffalo 60 & 61 < nee SB 51 & 52","69390 ,69384 12/40 Ex-South Buffalo 60 & 61 < nee SB 51 & 52",12/40 Ex-South Buffalo 60 & 61 < nee SB 51 & 52,Ex-South Buffalo 60 & 61 < nee SB 51 & 52,
"709 & 711 75349, 73582 6/47, 9/45 Ex-Union 452 & Studebaker 3","75349, 73582 6/47, 9/45 Ex-Union 452 & Studebaker 3","6/47, 9/45 Ex-Union 452 & Studebaker 3",Ex-Union 452 & Studebaker 3,
712 69810 7/42 Ex-BRC 305,69810 7/42 Ex-BRC 305,7/42 Ex-BRC 305,Ex-BRC 305,
"713-15 77116, 74362, 74352 12/49, 4/46, 11/45 Ex-L&N 59, NCSL 32 and L&N 29","77116, 74362, 74352 12/49, 4/46, 11/45 Ex-L&N 59, NCSL 32 and L&N 29","12/49, 4/46, 11/45 Ex-L&N 59, NCSL 32 and L&N 29","Ex-L&N 59, NCSL 32 and L&N 29",
716-719 -- -- --,-- -- --,-- --,--,
"720-722 75890, 69381, ??  6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","75890, 69381, ??  6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","6/48, 11/40 Ex-CGW 11, TP 6602 (#3) and ??","Ex-CGW 11, TP 6602 (#3) and ??",
S2 / S4 (Alco),801 73842 11/46 Ex-EL 505 < Erie 505,73842 11/46 Ex-EL 505 < Erie 505,11/46 Ex-EL 505 < Erie 505,Ex-EL 505 < Erie 505
"802-805 -- -- Ex-Relco 1013, 1025 & 1004","-- -- Ex-Relco 1013, 1025 & 1004","-- Ex-Relco 1013, 1025 & 1004","Ex-Relco 1013, 1025 & 1004",
